Pclass,Sex,Age,Fare,Embarked,Familysize,Isalone,HasCabin,Title,Pclass_Fare,Age_Fare,Survived
1,0,37.0,52.5542,2,3,0,1,0.0,52.5542,1944.5054,1
2,0,47.0,15.0,2,1,1,0,0.0,30.0,705.0,0
3,1,15.0,7.225,0,1,1,0,1.0,21.674999999999997,108.375,1
2,0,23.0,10.5,2,1,1,0,4.0,21.0,241.5,0
3,0,25.0,7.775,2,2,0,0,0.0,23.325000000000003,194.375,0
3,0,29.0,15.5,1,2,0,0,0.0,46.5,449.5,0
3,0,19.0,7.8958,2,1,1,0,0.0,23.6874,150.02020000000002,0
2,1,35.0,21.0,2,1,1,0,1.0,42.0,735.0,1
1,1,32.0,76.2917,0,1,1,1,1.0,76.2917,2441.3344,1
3,0,29.0,9.4833,2,1,1,0,0.0,28.4499,275.0157,0
1,1,44.0,27.7208,0,1,1,1,2.0,27.7208,1219.7152,1
3,0,29.0,7.75,1,1,1,1,0.0,23.25,224.75,0
1,0,27.0,30.5,2,1,1,0,0.0,30.5,823.5,1
2,0,43.0,26.25,2,3,0,0,0.0,52.5,1128.75,0
3,1,29.0,16.1,2,2,0,0,2.0,48.300000000000004,466.90000000000003,1
3,0,21.0,7.925,2,1,1,0,0.0,23.775,166.42499999999998,0
3,0,39.0,24.15,2,1,1,0,0.0,72.44999999999999,941.8499999999999,0
3,1,25.0,7.775,2,1,1,0,1.0,23.325000000000003,194.375,0
3,0,24.5,8.05,2,1,1,0,0.0,24.150000000000002,197.22500000000002,0
3,0,29.0,7.875,2,1,1,0,0.0,23.625,228.375,0
1,0,29.0,35.5,2,1,1,1,0.0,35.5,1029.5,1
1,0,28.0,35.5,2,1,1,1,0.0,35.5,994.0,1
1,0,45.5,28.5,2,1,1,1,0.0,28.5,1296.75,0
1,0,48.0,26.55,2,1,1,1,0.0,26.55,1274.4,1
3,0,6.0,12.475,2,2,0,1,3.0,37.425,74.85,1
1,1,38.0,71.2833,0,2,0,1,2.0,71.2833,2708.7653999999998,1
3,0,29.0,7.8958,2,1,1,0,0.0,23.6874,228.97820000000002,0
3,1,16.0,46.9,2,8,0,0,1.0,140.7,750.4,0
3,0,20.0,7.925,2,1,1,0,0.0,23.775,158.5,0
3,0,16.0,20.25,2,3,0,0,0.0,60.75,324.0,0
3,1,29.0,23.45,2,4,0,0,1.0,70.35,680.05,0
3,0,24.0,7.1417,2,1,1,0,0.0,21.4251,171.4008,1
1,1,19.0,30.0,2,1,1,1,1.0,30.0,570.0,1
3,0,36.0,7.8958,2,1,1,0,0.0,23.6874,284.2488,0
3,0,35.0,8.05,2,1,1,0,0.0,24.150000000000002,281.75,0
3,0,20.0,7.05,2,1,1,0,0.0,21.15,141.0,0
1,1,40.0,134.5,0,3,0,1,2.0,134.5,5380.0,1
3,0,29.0,7.775,2,1,1,0,0.0,23.325000000000003,225.47500000000002,1
1,1,16.0,86.5,2,1,1,1,1.0,86.5,1384.0,1
3,1,41.0,20.2125,2,3,0,0,2.0,60.637499999999996,828.7125,0
3,0,19.0,0.0,2,1,1,0,0.0,0.0,0.0,0
3,1,31.0,7.8542,2,1,1,0,1.0,23.5626,243.4802,0
3,0,29.0,9.5,2,1,1,0,0.0,28.5,275.5,0
3,0,35.0,7.125,2,1,1,0,0.0,21.375,249.375,0
3,0,29.0,69.55,2,11,0,0,0.0,208.64999999999998,2016.9499999999998,0
1,0,4.0,81.8583,2,3,0,1,3.0,81.8583,327.4332,1
3,0,20.0,7.925,2,2,0,0,0.0,23.775,158.5,1
3,1,8.0,21.075,2,5,0,0,1.0,63.224999999999994,168.6,0
3,0,18.0,7.75,2,1,1,0,0.0,23.25,139.5,0
3,0,34.0,8.05,2,1,1,0,0.0,24.150000000000002,273.70000000000005,0
2,0,2.0,26.0,2,3,0,1,3.0,52.0,52.0,1
3,1,29.0,7.55,2,1,1,0,1.0,22.65,218.95,0
2,0,32.5,30.0708,0,2,0,0,0.0,60.1416,977.3009999999999,0
3,1,13.0,7.2292,0,1,1,0,1.0,21.6876,93.97959999999999,1
3,0,29.0,15.2458,0,3,0,0,3.0,45.737399999999994,442.1282,1
3,0,30.0,16.1,2,2,0,0,0.0,48.300000000000004,483.00000000000006,0
2,1,45.0,26.25,2,3,0,0,2.0,52.5,1181.25,1
